Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,Tm,C_value,CV_C_value
Abies,Pinaceae,Pinophyta,-0.16075519838701188,-0.11345877407884813,0.6870063794654686,1.9138136866043858,-0.3697301234766429,-0.6037052395104684,0.3703754073571108,1.2187952008929985,-2.42864967379914,-2.063325752905833,1.301599159940006,1.896979409742326,-1.5103815253220927
Abronia,Nyctaginaceae,Caryophyllales,0.08168529810938793,1.5434031165370594,-0.167769325986521,-0.5818451574895072,-0.3596948218470062,-0.6506825458724149,0.3703754073571108,-0.015416248196516246,0.4917927089150691,-0.3017373869567135,0.1715694968260092,0.0842515910472392,-0.9267586691625668
Abutilon,Malvaceae,Malvales,-0.18384476950921877,-0.36836060575731233,0.03917637184271911,0.40328333333748645,-0.3233824238965091,-0.6506825458724149,0.3703754073571108,1.2187952008929985,0.4917927089150691,1.9388739515041513,-2.8560583577381427,-0.3747889261252434,-1.7860462469860359
Acacia,Fabaceae,Fabales,-0.17057747951287844,0.4658635617465431,0.6870063794654686,1.9138136866043858,2.684717403194702,-0.6506825458724149,0.3703754073571108,0.8047371650857171,0.4917927089150691,-0.9154080083186062,0.9962134692443105,-0.38312680249696407,-0.8218241935133554
Acaena,Rosaceae,Rosales,0.3826193747055725,2.0786969587794837,0.6870063794654686,-0.5818451574895072,-0.49299072872321953,-0.6506825458724149,-4.713723116841917,-1.2496276972860312,0.47856606624994996,-0.20183751836291688,0.7198144085768496,-0.5048058992223455,-0.18714509760251996
Acalypha,Euphorbiaceae,Malpighiales,-0.18384476950921877,-0.36836060575731233,-2.048275877980898,-0.5818451574895072,-0.11555932046596128,-0.12453671882778045,-0.018782573717732582,0.2632766601401658,-2.42864967379914,0.9009532392305507,0.5026284507833867,-0.06615201302314735,2.112928066741297
Acamptopappus,Asteraceae,Asterales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,1.9138136866043858,-0.45803472439148674,-0.6037052395104684,-1.5862969696647162,-0.3447177847187448,0.41181751863475785,-0.073394830170893,0.1715694968260092,0.02585991578918117,0.47092188437833943
Acanthomintha,Lamiaceae,Lamiales,-0.18384476950921877,-0.36836060575731233,-2.048275877980898,-0.5818451574895072,-0.38442576396305217,1.7659174732647986,0.3703754073571108,-0.42682006291407265,0.4871423220438573,-0.1875661085638034,0.2929670424973553,-0.38150219238998806,0.7108364539941381
Acanthopanax,Araliaceae,Apiales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,1.9138136866043858,-0.528288095667373,-0.6506825458724149,0.3703754073571108,-1.2496276972860312,0.4917927089150691,0.08359067761935911,0.1715694968260092,-0.188715454791194,0.06020997056214104
Acanthospermum,Asteraceae,Asterales,-0.18384476950921877,-0.36836060575731233,-2.048275877980898,-0.5818451574895072,-0.45803472439148674,-0.6506825458724149,-1.5862969696647162,-0.3447177847187448,0.4917927089150691,-0.073394830170893,0.1715694968260092,0.02585991578918117,0.47092188437833943
Acanthus,Acanthaceae,Lamiales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,-0.5818451574895072,-0.4997476573433244,1.9800465893507573,0.3703754073571108,-0.015416248196516246,0.4917927089150691,-0.2303803379611445,0.1715694968260092,-0.2319833982972788,0.05358756427949603
Acer,Sapindaceae,Sapindales,-0.17205435022904345,-0.1080353359279896,0.6870063794654686,1.9138136866043858,-0.4861397688879882,-0.6506825458724149,0.3703754073571108,0.8073913861754423,0.005052310822553481,0.03601931209802639,1.6997164148410726,-0.4226491234014279,-0.9840041634736574
Achillea,Asteraceae,Asterales,-0.1334390617604823,1.0590896381832706,0.6870063794654686,-0.5818451574895072,-0.45803472439148674,-0.6506825458724149,0.3703754073571108,-1.2496276972860312,0.4917927089150691,-0.073394830170893,0.1715694968260092,0.03624833943478963,-0.234120668425551
Achlys,Berberidaceae,Ranunculales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,-0.5818451574895072,-0.528288095667373,-0.6037052395104684,0.3703754073571108,0.39598756652104017,0.4917927089150691,-0.20183751836291688,0.1715694968260092,-0.251343849209279,2.221091921802485
Achnatherum,Poaceae,Poales,-0.0017670088801300143,0.8551681765110858,0.6870063794654686,-0.5818451574895072,1.9461651067354397,1.8951843579093346,-0.09985715169762753,-0.1397941439471103,-2.1554905141612917,-0.5871655829389891,-1.296803778454835,0.23421211432471703,0.47072134994002746
Achyranthes,Amaranthaceae,Caryophyllales,-0.18384476950921877,-0.36836060575731233,0.45906619225669876,0.6659842645574393,0.8523263858274703,-0.6506825458724149,0.3703754073571108,1.152081066108073,-0.826150519383526,1.5820887065263065,-2.1275448242851605,-0.37801771960700903,-0.04646765903874597
Acianthus,Orchidaceae,Asparagales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,-0.5818451574895072,-0.528288095667373,1.941359397114203,-0.04453567217020329,0.05718442353692142,0.4917927089150691,0.9256038557670724,-1.0963390480594593,0.5232280355734711,1.8646695583889008
Acinos,Lamiaceae,Lamiales,3.6397882038928264,6.972812087853074,0.13994992797619538,-0.5818451574895072,-0.38442576396305217,1.7659174732647986,0.3703754073571108,1.2187952008929985,0.4917927089150691,-0.1875661085638034,0.2929670424973553,-0.38150219238998806,0.7108364539941381
Aciphylla,Apiaceae,Apiales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,-0.5818451574895072,-0.39615645772462665,-0.6506825458724149,0.3703754073571108,0.5639074943211195,0.4817911925455678,0.6544470695839105,1.6620936519127816,-0.17830955572764087,-0.3159293750123489
Aconitum,Ranunculaceae,Ranunculales,-0.14219299421523945,-0.028491496852693397,0.6870063794654686,-0.5818451574895072,-0.528288095667373,-0.38760963235009765,0.3703754073571108,1.0130932910657977,0.4917927089150691,1.5820887065263065,1.3867634180760593,0.2212998193855144,0.05358756427949603
Acorus,Acoraceae,Acorales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,-0.5818451574895072,-0.528288095667373,-0.6037052395104684,0.3703754073571108,-3.718050595465061,0.4917927089150691,-0.073394830170893,0.1715694968260092,-0.4770973639721434,-0.7644309652969694
Acrotriche,Ericaceae,Ericales,-0.18384476950921877,-0.36836060575731233,0.6870063794654686,1.9138136866043858,-0.528288095667373,-0.6506825458724149,0.3703754073571108,-1.002785407468128,0.41652357497866865,-0.47299430454607877,1.3623941273443572,-0.4446092678112612,-0.9346868533461822
