Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,Tm,C_value,CV_C_value
Atriplex,Amaranthaceae,Caryophyllales,0.158940397,0.119205298,0.369281046,0.232026144,0.041463415,0.0,1.0,0.96875,0.086956522,4.0,0.199,1.172962963,58.85704279
Atropa,Solanaceae,Solanales,0.0,0.0,1.0,0.0,0.089837398,0.018181818,1.0,1.0,1.0,1.93,0.324142857,1.95,75.18940887
Aubrieta,Brassicaceae,Brassicales,13.33333333,0.333333333,1.0,0.0,0.00485306,0.0,0.996621622,0.882352941,0.994444444,2.63,0.456936364,0.42,83.97051654
Aureolaria,Orobanchaceae,Lamiales,0.0,0.0,0.448232323,0.0,0.0,0.72,1.0,0.958333333,1.0,1.14,0.7155,3.468225806,49.13924668
Australopyrum,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.093533487,1.73,0.360925926,5.72,0.0
Austrofestuca,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.093533487,1.73,0.360925926,3.71,74.38153976
Avena,Poaceae,Poales,0.600600601,0.108108108,0.0,0.0,0.074314214,0.967741935,1.0,1.0,0.0,1.73,0.028333333,8.917777778,36.76904813
Avenula,Poaceae,Poales,0.666666667,0.08,1.0,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.093533487,1.73,0.360925926,5.530870827,74.38153976
Azolla,Salviniaceae,Monilophyta,0.0,0.0,0.666666667,0.0,0.0,0.017857143,1.0,0.5,1.0,2.09,0.6471375,0.77,60.63309118
Baccharis,Asteraceae,Asterales,0.0,0.0,1.0,0.833333333,0.00210989,0.017857143,0.826621924,0.68329718,1.0,1.928571429,0.6471375,4.064583333,74.38814924
Bacopa,Plantaginaceae,Lamiales,0.0,0.0,0.666666667,0.0,0.005925926,1.0,1.0,0.715189873,0.794117647,1.43,0.593923077,1.2,68.5695549
Baeckea,Myrtaceae,Myrtales,0.0,0.0,1.0,1.0,0.003243243,0.0,1.0,0.75,1.0,2.25,0.733152778,0.508,62.70475775
Bahia,Asteraceae,Asterales,0.0,0.0,0.75,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Baileya,Asteraceae,Asterales,0.0,0.0,0.2,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,7.32,74.38814924
Baldellia,Alismataceae,Alismatales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.74,13.67166667,29.00840546
Ballota,Lamiaceae,Lamiales,0.0,0.0,1.0,0.142857143,0.004320557,0.918604651,1.0,1.0,1.0,2.01,0.6708,1.197755102,82.29557184
Balsamorhiza,Asteraceae,Asterales,7.272727273,0.363636364,1.0,0.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Banksia,Proteaceae,Proteales,4.761904762,0.142857143,1.0,1.0,0.000625,0.333333333,1.0,0.75,1.0,2.15,0.8945,0.85,7.340079442
Baptisia,Fabaceae,Fabales,6.666666667,0.166666667,1.0,0.0,0.096494845,0.735191638,1.0,0.916129032,0.999645641,2.1,0.626545455,2.9788,100.1112562
Barbarea,Brassicaceae,Brassicales,0.0,0.0,0.36,0.0,0.00485306,0.0,1.0,1.0,1.0,2.63,0.456936364,0.702577031,83.97051654
Bartonia,Gentianaceae,Gentianales,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.882352941,1.0,1.76,0.723,3.902727273,78.21193545
Bartsia,Orobanchaceae,Lamiales,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,2.0,0.7155,3.468225806,49.13924668
Bassia,Amaranthaceae,Caryophyllales,3.571428571,0.125,0.125,0.166666667,0.041463415,0.0,1.0,1.0,0.333333333,2.24,0.199,1.12,57.33533842
Bauera,Cunoniaceae,Oxalidales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.75,1.0,1.85,0.6471375,2.25,60.63309118
Baumea,Cyperaceae,Poales,0.0,0.0,1.0,0.0,0.00045977,0.45,1.0,0.512578616,0.105381166,2.53,0.13225,1.062465753,144.9035847
Beckmannia,Poaceae,Poales,0.0,0.0,0.333333333,0.0,0.074314214,0.967741935,1.0,1.0,0.0,1.73,0.360925926,5.530870827,74.38153976
